step,loss,lr
1,1.59375000,1e-05
2,1.74218750,9.99901307564e-06
3,1.45312500,9.99605273544e-06
4,1.38281250,9.99112027793e-06
5,1.96875000,9.98421786662e-06
6,1.37500000,9.97534852916e-06
7,1.58593750,9.96451615592e-06
8,1.90625000,9.95172549833e-06
9,1.91406250,9.93698216682e-06
10,1.36718750,9.92029262828e-06
11,2.59375000,9.9016642033e-06
12,1.12500000,9.88110506293e-06
13,1.59375000,9.85862422508e-06
14,2.62500000,9.83423155059e-06
15,1.80468750,9.80793773889e-06
16,1.78125000,9.77975432333e-06
17,1.36718750,9.74969366607e-06
18,1.67187500,9.71776895271e-06
19,2.09375000,9.6839941865e-06
20,1.66406250,9.64838418215e-06
21,2.20312500,9.61095455939e-06
22,1.92187500,9.5717217361e-06
23,1.36718750,9.53070292108e-06
24,3.46875000,9.48791610654e-06
25,1.52343750,9.4433800602e-06
26,2.21875000,9.39711431703e-06
27,2.87500000,9.34913917072e-06
28,3.10937500,9.29947566476e-06
29,2.43750000,9.2481455832e-06
30,1.28125000,9.1951714411e-06
31,1.67187500,9.14057647469e-06
32,2.01562500,9.08438463111e-06
33,2.46875000,9.02662055797e-06
34,2.40625000,8.96730959249e-06
35,3.37500000,8.90647775043e-06
36,2.32812500,8.84415171465e-06
37,2.07812500,8.7803588234e-06
38,2.65625000,8.71512705835e-06
39,1.50000000,8.64848503231e-06
40,1.75781250,8.58046197668e-06
41,1.38281250,8.51108772861e-06
42,1.14843750,8.44039271796e-06
43,2.35937500,8.36840795387e-06
44,1.42187500,8.29516501125e-06
45,2.18750000,8.22069601688e-06
46,2.07812500,8.14503363532e-06
47,2.09375000,8.06821105458e-06
48,3.23437500,7.9902619716e-06
49,3.34375000,7.91122057741e-06
50,1.75000000,7.83112154218e-06
51,1.72656250,7.75e-06
52,1.20312500,7.66789153346e-06
53,2.93750000,7.58483215804e-06
54,3.65625000,7.50085830633e-06
55,1.92187500,7.41600681204e-06
56,2.04687500,7.33031489384e-06
57,1.13281250,7.24382013903e-06
58,2.04687500,7.15656048708e-06
59,2.89062500,7.06857421295e-06
60,1.39843750,6.97989991032e-06
61,2.21875000,6.89057647469e-06
62,2.84375000,6.80064308625e-06
63,1.67187500,6.71013919277e-06
64,0.71484375,6.61910449224e-06
65,1.30468750,6.5275789155e-06
66,2.56250000,6.43560260868e-06
67,1.46875000,6.34321591564e-06
68,0.53125000,6.25045936022e-06
69,0.87890625,6.15737362853e-06
70,2.31250000,6.06399955104e-06
71,1.42187500,5.9703780847e-06
72,0.43750000,5.876550295e-06
73,1.54687500,5.78255733788e-06
74,1.55468750,5.68844044178e-06
75,0.66796875,5.59424088948e-06
76,1.16406250,5.5e-06
77,1.20312500,5.40575911052e-06
78,3.57812500,5.31155955822e-06
79,0.50000000,5.21744266212e-06
80,0.61718750,5.123449705e-06
81,4.43750000,5.0296219153e-06
82,0.71484375,4.93600044896e-06
83,0.31640625,4.84262637147e-06
84,2.65625000,4.74954063978e-06
85,0.63281250,4.65678408436e-06
86,1.19531250,4.56439739132e-06
87,1.02343750,4.4724210845e-06
88,0.57031250,4.38089550776e-06
89,2.31250000,4.28986080723e-06
90,1.33593750,4.19935691375e-06
91,2.09375000,4.10942352531e-06
92,1.14843750,4.02010008968e-06
93,1.50000000,3.93142578705e-06
94,2.71875000,3.84343951292e-06
95,0.86328125,3.75617986097e-06
96,1.32812500,3.66968510616e-06
97,2.37500000,3.58399318796e-06
98,1.86718750,3.49914169367e-06
99,2.93750000,3.41516784196e-06
100,1.41406250,3.33210846654e-06
101,2.15625000,3.25e-06
102,1.07031250,3.16887845782e-06
103,2.45312500,3.08877942259e-06
104,1.06250000,3.0097380284e-06
105,3.21875000,2.93178894542e-06
106,1.56250000,2.85496636468e-06
107,1.73437500,2.77930398312e-06
108,1.25000000,2.70483498875e-06
109,1.20312500,2.63159204613e-06
110,1.57812500,2.55960728204e-06
111,1.03906250,2.48891227139e-06
112,0.58984375,2.41953802332e-06
113,1.09375000,2.35151496769e-06
114,1.54687500,2.28487294165e-06
115,2.26562500,2.2196411766e-06
116,2.03125000,2.15584828535e-06
117,2.17187500,2.09352224957e-06
118,1.87500000,2.03269040751e-06
119,2.01562500,1.97337944203e-06
120,0.57421875,1.91561536889e-06
121,1.14843750,1.85942352531e-06
122,1.61718750,1.8048285589e-06
123,1.85156250,1.7518544168e-06
124,1.63281250,1.70052433524e-06
125,2.09375000,1.65086082928e-06
126,1.73437500,1.60288568297e-06
127,2.14062500,1.5566199398e-06
128,1.82031250,1.51208389346e-06
129,1.33593750,1.46929707892e-06
130,1.47656250,1.4282782639e-06
131,1.20312500,1.38904544061e-06
132,1.65625000,1.35161581785e-06
133,0.67968750,1.3160058135e-06
134,1.00000000,1.28223104729e-06
135,1.26562500,1.25030633393e-06
136,1.17187500,1.22024567667e-06
137,2.12500000,1.19206226111e-06
138,1.19531250,1.16576844941e-06
139,1.10156250,1.14137577492e-06
140,1.42187500,1.11889493707e-06
141,0.58984375,1.0983357967e-06
142,1.19531250,1.07970737172e-06
143,1.71093750,1.06301783318e-06
144,0.95312500,1.04827450167e-06
145,0.85546875,1.03548384408e-06
146,1.21093750,1.02465147084e-06
147,1.49218750,1.01578213338e-06
148,1.05468750,1.00887972207e-06
149,1.25781250,1.00394726456e-06
150,1.32812500,1.00098692436e-06
