step,loss,lr
79,2.89843750,2.90634080562e-05
80,3.12109375,2.90395296339e-05
81,2.04687500,2.90153618609e-05
82,2.05664062,2.89909052948e-05
83,2.27343750,2.89661604998e-05
84,2.47265625,2.89411280471e-05
85,2.64453125,2.89158085143e-05
86,2.65234375,2.88902024855e-05
87,2.87109375,2.88643105517e-05
88,3.02734375,2.88381333103e-05
89,2.85156250,2.88116713654e-05
90,2.84375000,2.87849253275e-05
91,2.80078125,2.87578958139e-05
92,2.62109375,2.87305834482e-05
93,2.44531250,2.87029888607e-05
94,2.10937500,2.86751126881e-05
95,2.09375000,2.86469555737e-05
96,2.07226562,2.86185181672e-05
97,2.90625000,2.85898011248e-05
98,2.87500000,2.85608051091e-05
99,2.71875000,2.85315307893e-05
100,2.59765625,2.85019788408e-05
101,2.44140625,2.84721499456e-05
102,2.21875000,2.84420447919e-05
103,2.00195312,2.84116640744e-05
104,2.03320312,2.83810084942e-05
105,2.05664062,2.83500787587e-05
106,2.04492188,2.83188755815e-05
107,2.16015625,2.82873996828e-05
108,2.39453125,2.82556517886e-05
109,2.56640625,2.82236326318e-05
110,2.62500000,2.81913429511e-05
111,2.68750000,2.81587834916e-05
112,3.02734375,2.81259550046e-05
113,2.10937500,2.80928582476e-05
114,1.91210938,2.80594939844e-05
115,2.20312500,2.80258629848e-05
116,2.33984375,2.79919660249e-05
117,2.57812500,2.79578038868e-05
118,2.65234375,2.79233773589e-05
119,2.78906250,2.78886872354e-05
120,2.97265625,2.78537343171e-05
121,2.00781250,2.78185194102e-05
122,1.95507812,2.77830433275e-05
123,2.09960938,2.77473068876e-05
124,2.34765625,2.7711310915e-05
125,2.52343750,2.76750562404e-05
126,2.57812500,2.76385437004e-05
127,2.83203125,2.76017741374e-05
128,2.78906250,2.75647484001e-05
129,2.02343750,2.75274673426e-05
130,1.97460938,2.74899318254e-05
131,2.12304688,2.74521427145e-05
132,2.33203125,2.74141008819e-05
133,2.58593750,2.73758072054e-05
134,2.61718750,2.73372625687e-05
135,2.64453125,2.72984678612e-05
136,2.73828125,2.7259423978e-05
137,2.85156250,2.72201318202e-05
138,2.70703125,2.71805922943e-05
139,2.65625000,2.71408063129e-05
140,2.58984375,2.71007747938e-05
141,2.39453125,2.70604986609e-05
142,2.23828125,2.70199788436e-05
143,2.04687500,2.69792162768e-05
144,2.08007812,2.69382119011e-05
145,2.06250000,2.68969666628e-05
146,1.86914062,2.68554815135e-05
147,2.03515625,2.68137574105e-05
148,2.30468750,2.67717953166e-05
149,2.53125000,2.67295962001e-05
150,2.63671875,2.66871610348e-05
151,2.70703125,2.66444907998e-05
152,2.67968750,2.66015864798e-05
153,2.67187500,2.65584490647e-05
154,2.57812500,2.651507955e-05
155,2.65234375,2.64714789365e-05
156,2.58984375,2.64276482302e-05
157,2.32812500,2.63835884425e-05
158,2.06250000,2.63393005901e-05
159,2.00976562,2.62947856949e-05
160,1.95703125,2.62500447842e-05
161,2.62500000,2.62050788903e-05
162,2.79687500,2.61598890508e-05
163,2.56250000,2.61144763085e-05
164,2.54296875,2.60688417113e-05
165,2.36328125,2.60229863123e-05
166,2.06835938,2.59769111694e-05
167,1.88671875,2.5930617346e-05
168,1.96484375,2.58841059102e-05
169,1.99218750,2.58373779353e-05
